Memory type;RAM;;;;;;;;;;;;;;;;;;;
AbsError(write);1.61548e+09;1.72693e+08;1.92415e+08;2.18484e+08;1.2727e+08;3.40223e+08;2.22253e+08;2.31228e+08;1.92685e+08;1.95919e+08;2.16174e+08;1.42662e+07;1.90355e+08;1.99957e+08;1.61135e+08;2.65324e+08;1.43702e+08;1.5378e+08;1.60923e+08;2.25009e+08
RelError(write);46.9298;5.01675;5.58966;6.34698;3.69722;9.88349;6.45647;6.71719;5.59752;5.69147;6.27987;0.414435;5.52984;5.80876;4.68098;7.70767;4.17455;4.46732;4.67482;6.53654
AverageReadTime;4.69539e+08;;;;;;;;;;;;;;;;;;;
ReadTime;4.73506e+08;4.68879e+08;4.67858e+08;4.72156e+08;4.67922e+08;4.69724e+08;4.70848e+08;4.65571e+08;4.70121e+08;4.70334e+08;4.69087e+08;4.72274e+08;4.75603e+08;4.68086e+08;4.67479e+08;4.68008e+08;4.6616e+08;4.65947e+08;4.72213e+08;4.69e+08
ReadBandWidth;17865.6;;;;;;;;;;;;;;;;;;;
AbsError(read);3.96725e+06;660250;1.68105e+06;2.61705e+06;1.61675e+06;185050;1.30965e+06;3.96805e+06;582350;794650;451550;2.73535e+06;6.06445e+06;1.45285e+06;2.05975e+06;1.53105e+06;3.37895e+06;3.59155e+06;2.67435e+06;538350
RelError(read);0.844925;0.140617;0.358021;0.557366;0.344327;0.039411;0.278923;0.845095;0.124026;0.169241;0.0961688;0.582561;1.29158;0.309421;0.438675;0.326075;0.719632;0.76491;0.569569;0.114655
;;;;;;;;;;;;;;;;;;;;
Memory type;HDD;;;;;;;;;;;;;;;;;;;
Block Size;12 Mb;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;4.97083e+09;;;;;;;;;;;;;;;;;;;
WriteTime;4.86515e+09;4.97166e+09;4.79935e+09;4.86057e+09;4.91044e+09;4.97488e+09;5.28953e+09;4.86968e+09;4.85064e+09;4.84551e+09;4.92331e+09;4.85713e+09;5.29025e+09;4.75595e+09;4.84207e+09;4.81271e+09;4.85339e+09;5.36518e+09;5.06406e+09;5.41516e+09
WriteBandWidth;2531.35;;;;;;;;;;;;;;;;;;;
AbsError(write);1.05678e+08;825325;1.71478e+08;1.10259e+08;6.03925e+07;4.05312e+06;3.18699e+08;1.01148e+08;1.2019e+08;1.25323e+08;4.75162e+07;1.137e+08;3.19415e+08;2.14885e+08;1.28762e+08;1.5812e+08;1.17442e+08;3.94347e+08;9.32271e+07;4.44326e+08
RelError(write);2.12596;0.0166034;3.44968;2.21812;1.21494;0.0815382;6.41139;2.03482;2.41791;2.52117;0.9559;2.28735;6.42579;4.32291;2.59036;3.18096;2.36262;7.93322;1.87548;8.93867
AverageReadTime;7.05584e+08;;;;;;;;;;;;;;;;;;;
ReadTime;6.99722e+08;7.01254e+08;7.11384e+08;6.99388e+08;7.05115e+08;7.07776e+08;7.07364e+08;7.05742e+08;7.02584e+08;7.09744e+08;7.05716e+08;7.1074e+08;7.03723e+08;7.05384e+08;7.05161e+08;7.08854e+08;7.1425e+08;7.01172e+08;7.02431e+08;7.04185e+08
ReadBandWidth;17833.3;;;;;;;;;;;;;;;;;;;
AbsError(read);5.8625e+06;4.33e+06;5.7993e+06;6.1966e+06;469595;2.1916e+06;1.7798e+06;157905;3.0008e+06;4.1596e+06;131205;5.1555e+06;1.8617e+06;200395;423095;3.2694e+06;8.6655e+06;4.4123e+06;3.1531e+06;1.3998e+06
RelError(read);0.830871;0.613675;0.821915;0.878222;0.066554;0.310608;0.252245;0.0223793;0.425292;0.589526;0.0185952;0.730672;0.263851;0.0284013;0.0599638;0.463361;1.22813;0.625339;0.446877;0.198388
;;;;;;;;;;;;;;;;;;;;
Memory type;Flash;;;;;;;;;;;;;;;;;;;
Block Size;4 Mb;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;1.97528e+09;;;;;;;;;;;;;;;;;;;
